,Agenda_issue,Belieftruth_tree,Burnt,Camp_site,Chosen_instrument,Empty,Firefighters,Prevention,Run_number,Thick_forest,Thin_forest
90,2,"[-0.3587, -0.42088, -0.9462, -0.82185, 0.10444, 0.167, -0.70333, 0.80002, 1.0, -0.0984]",3056,1167,12.0,4508,9.99999999999974e-91,0.009998967943937462,16,62,890
91,2,"[-0.35889, -0.42059, -0.9433, -0.8199, 0.10212, 0.181, -0.681, 0.80002, 1.0, -0.0966]",2950,1181,12.0,4517,9.999999999999743e-92,0.009999071149543716,16,59,957
92,2,"[-0.35836, -0.42053, -0.94075, -0.8164, 0.09968, 0.201, -0.674, 0.80002, 1.0, -0.0868]",2822,1201,12.0,4566,9.999999999999743e-93,0.009999164034589345,16,69,978
93,2,"[-0.35764, -0.41567, -0.9431, -0.82705, 0.11176, 0.131, -0.68667, 0.80002, 1.0, -0.097]",2927,1131,12.0,4515,9.99999999999974e-94,0.009999247631130411,16,66,940
94,2,"[-0.35871, -0.41976, -0.9444, -0.8223, 0.10488, 0.165, -0.68833, 0.80001, 1.0, -0.0988]",2952,1165,12.0,4506,9.999999999999741e-95,0.00999932286801737,16,59,935
95,2,"[-0.35942, -0.42155, -0.94545, -0.8212, 0.10236, 0.172, -0.69633, 0.80001, 1.0, -0.1042]",3006,1172,12.0,4479,9.999999999999739e-96,0.009999390581215633,16,60,911
96,2,"[-0.35973, -0.42343, -0.9465, -0.8191, 0.09964, 0.188, -0.69733, 0.80001, 1.0, -0.103]",3014,1188,12.0,4485,9.999999999999729e-97,0.00999945152309407,16,54,908
97,2,"[-0.35736, -0.41531, -0.94465, -0.82875, 0.11404, 0.126, -0.678, 0.80001, 1.0, -0.0944]",2952,1126,12.0,4528,9.999999999999729e-98,0.009999506370784662,16,47,966
98,2,"[-0.35952, -0.4217, -0.9454, -0.82105, 0.102, 0.176, -0.687, 0.80001, 1.0, -0.1038]",2987,1176,12.0,4481,9.999999999999731e-99,0.009999555733706195,16,51,939
99,2,"[-0.3613, -0.42878, -0.94415, -0.8092, 0.0866, 0.251, -0.69067, 0.80001, 1.0, -0.1034]",2913,1251,12.0,4483,9.999999999999728e-100,0.009999600160335576,16,63,928
100,2,"[-0.36095, -0.4256, -0.9424, -0.8131, 0.0912, 0.224, -0.682, 0.80001, 1.0, -0.1068]",2902,1224,12.0,4466,9.999999999999726e-101,0.009999640144302019,16,66,954
101,2,"[-0.3583, -0.4186, -0.94595, -0.82535, 0.10876, 0.147, -0.69167, 0.80001, 1.0, -0.0988]",2959,1147,12.0,4506,9.999999999999726e-102,0.009999676129871817,16,52,925
102,2,"[-0.35784, -0.41897, -0.9461, -0.82385, 0.10816, 0.157, -0.69267, 0.80001, 1.0, -0.0918]",2946,1157,12.0,4541,9.99999999999972e-103,0.009999708516884635,16,52,922
103,2,"[-0.36047, -0.4267, -0.9442, -0.81175, 0.0908, 0.235, -0.688, 0.80001, 1.0, -0.099]",2922,1235,12.0,4505,9.999999999999716e-104,0.009999737665196172,16,60,936
104,2,"[-0.35845, -0.41924, -0.94505, -0.82345, 0.10656, 0.155, -0.69967, 0.8, 1.0, -0.099]",2972,1155,12.0,4505,9.999999999999716e-105,0.009999763898676555,16,66,901
